"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81112","8.10483871","0.02401397","0.12338308","0.0","APG7","3","3","18","-0.134","0.030789","0.251","2.257E-4","0.034","0.7782","false","false","YHR171W","3.66666667","3","0","0","0.73685783","false","0","YHR171W","4106","0.38095238"
"81113","9.09274194","0.00401593","0.10997783","0.0","APG5","2","2","19","0.033","0.47027","0.116","0.043291","0.488","1.5579E-5","false","false","YPL149W","2.5","2","0","0","0.70026882","false","0","YPL149W","1028","0.75"
"81114","9.75","0.0","0.1025641","0.0","TFA1","1","1","20","0.214","3.5042E-5","-0.146","0.025221","0.337","4.9898E-5","false","false","YKL028W","2.0","1","0","0","0.67592593","false","0","YKL028W","0","0.0"
"81115","8.75403226","0.00806452","0.11423307","0.0","TFB1","2","2","19","0.098","0.056092","-0.043","0.60829","0.332","0.0087786","false","false","YDR311W","1.5","2","0","0","0.71281362","false","0","YDR311W","612","0.5"
"81116","7.73387097","0.0","0.12930136","1.0","HAP3","2","2","16","0.073","0.18207","-0.256","0.015004","-0.108","0.497","false","false","YBL021C","4.5","2","0","0","0.75059737","false","0","YBL021C","0","0.75"
"81117","7.73387097","0.0","0.12930136","1.0","HAP2","2","2","16","0.127","0.002588","0.05","0.22211","0.059","0.35299","false","false","YGL237C","4.5","2","0","0","0.75059737","false","0","YGL237C","0","0.75"
"81118","9.52822581","0.0","0.10495133","0.0","CYC7","1","1","18","-0.319","2.8783E-6","0.377","7.3568E-7","-1.373","4.9668E-7","false","false","YEL039C","4.0","1","0","0","0.68413978","false","0","YEL039C","0","0.0"
"81119","7.56854839","0.04079818","0.13212573","0.2","CYC1","5","5","16","0.216","3.3444E-5","0.14","0.005959","-0.643","1.6071E-8","false","false","YJR048W","4.4","5","0","0","0.75672043","false","0","YJR048W","9044","0.26666667"
"81120","9.52016129","0.00806452","0.10504024","0.0","CYB2","2","2","18","0.963","3.5964E-11","0.856","1.3947E-8","-0.091","0.25421","false","false","YML054C","2.5","2","0","0","0.68443847","false","0","YML054C","1786","0.5"
"81121","8.53225806","0.03202952","0.11720227","0.0","HAP1","4","4","17","0.011","0.79725","-0.087","0.063023","0.104","0.2243","false","false","YLR256W","2.25","4","0","0","0.72102748","false","0","YLR256W","7130","0.25"
"81122","1.0","1.0","1.0","0.0","CPA1","2","2","1","-0.127","0.002137","-0.089","0.15221","0.403","1.5854E-4","false","false","YOR303W","1.0","2","0","0","1.0","false","0","YOR303W","2","0.0"
"81123","1.5","0.0","0.66666667","0.0","CPA2","1","1","2","-0.323","1.2917E-7","-0.0","0.61381","-0.745","0.030981","false","false","YJR109C","2.0","1","0","0","0.75","false","0","YJR109C","0","0.0"
"81124","10.07258065","0.00806452","0.09927942","0.0","YGR058W","2","2","20","0.045","0.44242","-0.16","0.10763","-0.065","0.6708","false","false","YGR058W","1.5","2","0","0","0.66397849","false","0","YGR058W","1032","0.5"
"81125","7.34274194","0.00806452","0.13618891","0.0","CDC42","2","2","15","-0.074","0.066961","0.089","0.031442","-0.154","0.030339","false","false","YLR229C","2.5","2","0","0","0.76508363","false","0","YLR229C","750","0.5"
"81126","8.33870968","0.0","0.11992263","0.0","GIC2","1","1","16","-0.427","1.6598E-8","-0.129","0.032663","-0.798","1.2554E-13","false","false","YDR309C","2.0","1","0","0","0.72819594","false","0","YDR309C","0","0.0"
"81127","9.08467742","0.01606373","0.11007545","0.0","YOR264W","2","2","19","0.493","1.939E-8","0.237","0.016862","0.307","0.011809","false","false","YOR264W","2.0","2","0","0","0.7005675","false","0","YOR264W","2060","0.5"
"81128","8.76209677","0.00806452","0.11412793","0.0","MSL5","2","2","17","0.015","0.74865","-0.03","0.60558","0.101","0.35769","false","false","YLR116W","2.0","2","0","0","0.71251493","false","0","YLR116W","1044","0.5"
"81129","9.78225806","0.00401593","0.10222589","0.0","RFA2","2","2","18","0.028","0.47284","-0.111","0.034589","-0.121","0.24786","false","false","YNL312W","2.5","2","0","0","0.67473118","false","0","YNL312W","1030","0.75"
"81130","10.77016129","1.632E-5","0.09284912","0.0","RAD52","2","2","19","0.199","3.3893E-4","-0.136","0.033332","0.363","0.0030735","false","false","YML032C","2.0","2","0","0","0.63814217","false","0","YML032C","2","1.0"
"81131","7.77419355","0.03199687","0.12863071","0.0","PRP40","3","3","16","0.21","4.2719E-4","-0.277","3.5398E-4","0.561","8.7173E-5","false","false","YKL012W","2.0","3","0","0","0.74910394","false","0","YKL012W","4160","0.33333333"
"81132","8.76209677","0.00806452","0.11412793","0.0","SIN4","2","2","17","-0.146","0.018347","-0.218","0.053936","-0.141","0.39009","false","false","YNL236W","2.0","2","0","0","0.71251493","false","0","YNL236W","1044","0.5"
"81133","7.47177419","0.0436549","0.13383702","0.0","YNL091W","3","3","18","0.288","1.9735E-6","0.154","0.026384","0.723","2.3704E-4","false","false","YNL091W","2.66666667","3","0","0","0.76030466","false","0","YNL091W","5154","0.33333333"
"81134","7.12096774","0.07028775","0.14043035","0.0","ATC1","2","2","17","0.04","0.4641","-0.886","9.3996E-7","0.404","0.10407","false","false","YDR184C","3.5","2","0","0","0.77329749","false","0","YDR184C","6204","0.5"
"81135","7.76612903","0.01606373","0.12876428","0.0","SSL2","2","2","18","0.124","0.019613","0.069","0.36733","0.264","0.045357","false","false","YIL143C","3.5","2","0","0","0.74940263","false","0","YIL143C","1220","0.5"
"81136","6.46370968","0.10314677","0.15470992","0.0","BAS1","3","3","16","0.466","6.1231E-6","-0.936","7.6476E-6","1.101","6.9896E-4","false","false","YKR099W","3.66666667","3","0","0","0.79764038","false","0","YKR099W","12284","0.33333333"
"81137","6.78629032","0.12134232","0.14735591","0.0","MSL1","5","5","17","-0.044","0.74397","-0.337","0.19987","-0.049","0.89526","false","false","YIR009W","2.2","5","0","0","0.78569295","false","0","YIR009W","12160","0.2"
"81138","7.62903226","0.0","0.13107822","1.0","GAL7","2","2","16","0.153","7.8855E-4","-1.995","3.6284E-11","3.126","3.9427E-17","false","false","YBR018C","7.5","2","0","0","0.75448029","false","0","YBR018C","0","0.75"
"81139","6.63709677","0.05907389","0.15066829","0.17777778","GAL4","11","11","15","0.1","0.11614","-0.758","1.264E-4","-0.211","0.088214","false","false","YPL248C","3.9","11","0","1","0.79121864","false","0","YPL248C","10716","0.19473684"
"81140","7.62903226","0.0","0.13107822","1.0","GAL2","2","2","16","0.176","2.4597E-4","-0.57","1.6652E-7","0.892","7.3429E-10","false","false","YLR081W","7.5","2","0","0","0.75448029","false","0","YLR081W","0","0.75"
"81141","6.79435484","0.00432532","0.14718101","0.5","GAL1","4","4","15","-2.426","7.0101E-9","-2.406","2.5038E-9","2.939","2.8147E-18","false","false","YBR020W","7.25","4","0","0","0.78539427","false","0","YBR020W","1638","0.42647059"
"81142","5.85483871","0.40813644","0.1707989","0.05454545","MIG1","11","11","14","0.345","1.102E-7","0.31","1.7172E-6","-0.28","0.0070533","false","false","YGL035C","3.36363636","11","0","0","0.82019116","false","0","YGL035C","92790","0.14354067"
"81143","7.61693548","9.251E-5","0.13128639","0.4","GAL11","5","5","16","0.171","0.001834","0.055","0.33923","0.111","0.30922","false","false","YOL051W","4.2","5","0","0","0.75492832","false","0","YOL051W","12","0.42"
"81144","6.7983871","0.0021545","0.14709371","0.66666667","GAL10","3","3","15","0.061","0.098603","-1.993","3.3164E-11","2.856","3.9398E-18","false","false","YBR019C","8.66666667","3","0","0","0.78524492","false","0","YBR019C","818","0.50980392"
"81145","7.91532258","0.00806452","0.12633724","0.0","CBF1","2","2","18","0.165","0.0013953","-0.306","0.0034755","0.103","0.43529","false","false","YJR060W","2.0","2","0","0","0.74387694","false","0","YJR060W","614","0.5"
"81146","7.83870968","0.0","0.12757202","1.0","STE5","2","2","16","-0.068","0.34875","-0.121","0.42858","0.023","0.92304","false","false","YDR103W","6.5","2","0","0","0.74671446","false","0","YDR103W","0","0.59090909"
"81147","6.86290323","0.22363878","0.14571093","0.02777778","STE11","9","9","15","0.144","0.023963","0.037","0.50139","0.374","0.0010869","false","false","YLR362W","2.22222222","9","0","0","0.78285544","false","0","YLR362W","21270","0.14444444"
"81148","8.81854839","0.0","0.11339735","0.0","YDR032C","1","1","17","0.113","0.026191","0.331","2.0333E-6","-0.211","7.1391E-4","false","false","YDR032C","4.0","1","0","0","0.71042413","false","0","YDR032C","0","0.0"
"81149","7.82258065","0.03196422","0.12783505","0.16666667","STE50","4","4","16","0.126","0.003766","0.02","0.71364","0.284","0.015244","false","false","YCL032W","3.75","4","0","0","0.74731183","false","0","YCL032W","2454","0.29545455"
"81150","14.08064516","0.0","0.07101947","0.0","AHP1","1","1","27","-0.603","1.4814E-9","0.466","2.5668E-4","-0.486","2.3432E-11","false","false","YLR109W","3.0","1","0","0","0.51553166","false","0","YLR109W","0","0.0"
"81151","14.08064516","0.0","0.07101947","0.0","RPL42B","1","1","27","-0.359","7.7434E-7","-0.371","2.5233E-6","-0.139","0.012998","false","false","YHR141C","3.0","1","0","0","0.51553166","false","0","YHR141C","0","0.0"
"81152","13.08467742","0.01609638","0.07642527","0.0","CIN4","3","3","26","0.414","0.037256","-0.0","0.39944","0.221","0.12805","false","false","YMR138W","1.33333333","3","0","0","0.55241935","false","0","YMR138W","5442","0.33333333"
"81153","8.61693548","0.0","0.11605054","0.0","ADE4","1","1","19","-0.514","1.522E-9","-1.296","1.4734E-8","1.202","4.7716E-11","false","false","YMR300C","7.0","1","0","0","0.71789128","false","0","YMR300C","0","0.0"
"81154","7.87096774","0.02615237","0.12704918","0.0","ARG1","2","2","17","-0.652","4.9342E-6","-0.541","4.0958E-7","-0.815","5.9432E-10","false","false","YOL058W","6.0","2","0","0","0.74551971","false","0","YOL058W","6768","0.5"
"81155","8.61693548","0.0","0.11605054","0.0","HIS7","1","1","19","-0.258","2.3151E-6","-1.252","1.6549E-7","0.898","3.3047E-5","false","false","YBR248C","7.0","1","0","0","0.71789128","false","0","YBR248C","0","0.0"
"81156","7.78225806","0.00612624","0.12849741","0.0","HIS3","2","2","17","-0.432","0.010979","-0.71","1.7979E-4","0.239","0.0054895","false","false","YOR202W","4.5","2","0","0","0.74880526","false","0","YOR202W","1810","0.5"
"81157","8.61693548","0.0","0.11605054","0.0","ILV2","1","1","19","0.04","0.27002","-0.358","9.4314E-4","0.095","0.14717","false","false","YMR108W","7.0","1","0","0","0.71789128","false","0","YMR108W","0","0.0"
"81158","7.62096774","0.06299561","0.13121693","0.0","GCN4","7","7","18","0.035","0.33125","0.032","0.41727","-0.031","0.55639","false","false","YEL009C","1.57142857","7","0","0","0.75477897","false","0","YEL009C","14390","0.14285714"
"81159","8.54032258","6.0402E-4","0.1170916","0.0","CNS1","2","2","17","0.082","0.10014","-0.479","1.5959E-5","0.519","3.7064E-4","false","false","YBR155W","2.5","2","0","0","0.72072879","false","0","YBR155W","82","0.75"
"81160","7.85080645","0.00339559","0.12737545","0.0","HSC82","2","2","16","-0.032","0.52469","-0.032","0.4995","-0.608","1.6833E-14","false","false","YMR186W","5.5","2","0","0","0.74626643","false","0","YMR186W","530","0.5625"
"81161","2.25","0.0","0.44444444","0.0","MLC1","1","1","3","-0.262","1.3141E-5","-0.327","9.2389E-6","-0.059","0.29618","false","false","YGL106W","2.0","1","0","0","0.58333333","false","0","YGL106W","0","0.0"
"81162","1.5","0.5","0.66666667","0.0","MYO2","2","2","2","0.51","5.9183E-9","0.432","8.2407E-8","0.296","1.1583E-4","false","false","YOR326W","2.0","2","0","0","0.83333333","false","0","YOR326W","6","0.5"
"81163","9.78629032","0.01979124","0.10218377","0.33333333","NIP1","3","3","19","0.009","0.82076","-0.248","2.0319E-4","-0.123","0.1009","false","false","YMR309C","2.33333333","3","0","0","0.67458184","false","0","YMR309C","5122","0.5"
"81164","9.85483871","0.01710209","0.101473","0.33333333","PRT1","3","3","18","-0.02","0.60784","-0.085","0.11638","-0.237","0.0031451","false","false","YOR361C","2.66666667","3","0","0","0.67204301","false","0","YOR361C","4108","0.46666667"
"81165","7.97983871","0.03279541","0.12531582","0.0","YIL105C","2","2","17","0.196","6.9834E-5","0.023","0.66796","0.197","0.016148","false","false","YIL105C","2.5","2","0","0","0.74148746","false","0","YIL105C","7186","0.5"
"81166","8.06854839","0.0","0.12393803","0.0","PDC5","1","1","17","-0.645","1.2585E-11","0.027","0.58514","-0.351","1.2076E-8","false","false","YLR134W","3.0","1","0","0","0.73820191","false","0","YLR134W","0","0.0"
"81167","7.07258065","0.04783067","0.14139111","0.0","DMC1","3","3","16","-0.219","1.1807E-4","0.059","0.36733","-0.167","0.13801","false","false","YER179W","2.0","3","0","0","0.77508961","false","0","YER179W","9276","0.33333333"
"81168","1.0","0.0","1.0","1.0","NOP5","2","2","1","-0.073","0.055533","-0.499","1.7322E-6","-0.157","0.041898","false","false","YOR310C","2.0","2","0","0","1.0","false","0","YOR310C","0","1.0"
"81169","1.0","0.0","1.0","1.0","NOP1","2","2","1","-0.039","0.32352","-0.176","0.012945","-0.038","0.62955","false","false","YDL014W","2.0","2","0","0","1.0","false","0","YDL014W","0","1.0"
"81170","6.48387097","0.29306517","0.15422886","0.0","CLB2","2","2","16","-0.234","3.9246E-6","-0.279","6.2635E-4","-0.342","1.6424E-5","false","false","YPR119W","12.5","2","0","0","0.79689367","false","0","YPR119W","54840","0.5"
"81171","8.12096774","0.00806452","0.12313803","0.0","SYF3","2","2","18","0.326","7.6184E-7","-0.234","0.0048407","0.712","6.8931E-6","false","false","YLR117C","4.0","2","0","0","0.73626045","false","0","YLR117C","1032","0.5"
"81172","8.10483871","0.02401397","0.12338308","0.0","PDR1","3","3","18","0.185","1.959E-4","-0.152","0.013422","0.173","0.0945","false","false","YGL013C","3.66666667","3","0","0","0.73685783","false","0","YGL013C","4106","0.38095238"
"81173","8.10483871","0.02399765","0.12338308","0.0","YCR086W","2","2","18","-0.081","0.32121","-0.397","0.080473","0.381","0.17239","false","false","YCR086W","4.5","2","0","0","0.73685783","false","0","YCR086W","3084","0.5"
"81174","7.13306452","0.30517827","0.1401922","0.0","YDR412W","7","7","17","0.067","0.27226","-0.641","1.6949E-5","0.991","2.4711E-5","false","false","YDR412W","2.85714286","7","0","0","0.77284946","false","0","YDR412W","55770","0.14285714"
"81175","1.0","0.0","1.0","0.0","YPL201C","1","1","1","2.058","6.0394E-10","1.18","8.9209E-7","0.597","0.0043411","false","false","YPL201C","1.0","1","0","0","1.0","false","0","YPL201C","0","0.0"
"81176","1.0","0.0","1.0","0.0","HOR2","1","1","1","-0.486","3.7312E-10","-0.942","1.2051E-8","0.359","5.8643E-6","false","false","YER062C","1.0","1","0","0","1.0","false","0","YER062C","0","0.0"
"81177","10.64112903","0.00401593","0.09397499","0.0","SNC2","2","2","20","0.249","6.9534E-6","-0.112","0.06928","0.559","4.4793E-5","false","false","YOR327C","3.5","2","0","0","0.64292115","false","0","YOR327C","602","0.625"
"81178","11.62903226","1.632E-5","0.08599168","0.0","DDI1","2","2","21","0.282","5.6125E-6","0.255","8.6796E-6","0.179","0.018361","false","false","YER143W","2.0","2","0","0","0.60633214","false","0","YER143W","2","1.0"
"81179","10.64112903","0.00401593","0.09397499","0.0","SNC1","2","2","20","-0.05","0.18782","0.027","0.55374","0.003","0.95396","false","false","YAL030W","3.5","2","0","0","0.64292115","false","0","YAL030W","602","0.625"
"81180","6.94354839","0.0285648","0.14401858","0.0","ADH1","2","2","17","-0.113","0.0039297","0.245","3.2186E-4","-0.322","1.3104E-5","false","false","YOL086C","12.0","2","0","0","0.77986858","false","0","YOL086C","15414","0.64705882"
"81181","6.94354839","0.0285648","0.14401858","0.0","TPI1","2","2","17","-0.584","3.6468E-10","0.053","0.48903","-0.728","8.6735E-12","false","false","YDR050C","12.0","2","0","0","0.77986858","false","0","YDR050C","15414","0.64705882"
"81182","7.22177419","0.03121327","0.13847013","0.0","RPL25","2","2","17","-0.192","4.4813E-4","-0.425","9.2415E-7","0.076","0.17224","false","false","YOL127W","12.5","2","0","0","0.76956392","false","0","YOL127W","9108","0.52272727"
"81183","7.28629032","0.0","0.13724405","0.0","RPS24B","1","1","17","-0.313","7.7038E-6","-0.467","1.0186E-6","-0.018","0.74944","false","false","YIL069C","17.0","1","0","0","0.76717443","false","0","YIL069C","0","0.0"
"81184","7.28629032","0.0","0.13724405","0.0","RPS24A","1","1","17","-0.262","1.8517E-5","-0.449","2.1168E-6","-0.051","0.44216","false","false","YER074W","17.0","1","0","0","0.76717443","false","0","YER074W","0","0.0"
"81185","7.27016129","0.01606373","0.13754853","0.0","PHO5","2","2","17","-0.704","2.3291E-7","0.075","0.088763","-0.543","3.6198E-13","false","false","YBR093C","9.5","2","0","0","0.7677718","false","0","YBR093C","2092","0.5"
"81186","7.28629032","0.0","0.13724405","0.0","HSP42","1","1","17","-0.31","8.1757E-7","0.3","8.7039E-6","-0.723","1.4287E-12","false","false","YDR171W","17.0","1","0","0","0.76717443","false","0","YDR171W","0","0.0"
"81187","6.77822581","0.09883491","0.14753123","0.0","HIS4","3","3","17","-1.067","3.8988E-11","-0.898","2.3894E-7","0.29","0.0016438","false","false","YCL030C","9.0","3","0","0","0.78599164","false","0","YCL030C","18164","0.33333333"
"81188","7.28629032","0.0","0.13724405","0.0","RPL18B","1","1","17","-0.379","7.3086E-7","-0.245","1.0721E-4","-0.271","1.2267E-5","false","false","YNL301C","17.0","1","0","0","0.76717443","false","0","YNL301C","0","0.0"
"81189","7.28629032","0.0","0.13724405","0.0","RPL18A","1","1","17","-0.409","1.7242E-7","-0.225","3.0221E-4","-0.62","3.898E-9","false","false","YOL120C","17.0","1","0","0","0.76717443","false","0","YOL120C","0","0.0"
"81190","6.1733871","0.2780402","0.16198563","0.0","PDC1","3","3","15","-0.62","6.9512E-11","-0.071","0.23784","-0.184","0.0064407","false","false","YLR044C","10.33333333","3","0","0","0.80839307","false","0","YLR044C","82528","0.33333333"
"81191","7.22177419","0.03121327","0.13847013","0.0","RPL16A","2","2","17","-0.453","4.6153E-8","-0.311","1.1962E-4","-0.146","0.012589","false","false","YIL133C","12.5","2","0","0","0.76956392","false","0","YIL133C","9108","0.52272727"
"81192","6.94354839","0.0285648","0.14401858","0.0","ENO2","2","2","17","-0.816","7.175E-11","0.241","0.011477","-0.217","0.0015357","false","false","YHR174W","12.0","2","0","0","0.77986858","false","0","YHR174W","15414","0.64705882"
"81193","6.94354839","0.0285648","0.14401858","0.0","ENO1","2","2","17","-0.737","6.5621E-11","0.259","0.0079977","-0.171","0.025056","false","false","YGR254W","12.0","2","0","0","0.77986858","false","0","YGR254W","15414","0.64705882"
"81194","6.92741935","0.04462853","0.1443539","0.0","PGK1","3","3","17","-0.668","7.3129E-10","0.329","2.4163E-5","-0.746","4.2315E-13","false","false","YCR012W","8.66666667","3","0","0","0.78046595","false","0","YCR012W","16638","0.42592593"
"81195","6.29032258","0.35844736","0.15897436","0.0","RAP1","17","17","16","0.205","0.024692","0.015","0.93493","0.234","0.54155","false","false","YNL216W","1.88235294","17","0","0","0.80406213","false","0","YNL216W","111754","0.09803922"
"81196","6.92741935","0.04462853","0.1443539","0.0","CDC19","3","3","17","-0.652","1.3173E-10","0.123","0.10377","-0.453","1.5489E-7","false","false","YAL038W","8.66666667","3","0","0","0.78046595","false","0","YAL038W","16638","0.42592593"
"81197","7.91532258","0.00806452","0.12633724","0.0","MCK1","2","2","18","-0.046","0.27844","0.094","0.029538","-0.063","0.37572","false","false","YNL307C","2.0","2","0","0","0.74387694","false","0","YNL307C","614","0.5"
"81198","9.27822581","0.13296195","0.10777923","0.0","HEX3","3","3","21","0.214","4.0439E-5","0.073","0.22129","0.593","2.0836E-5","false","false","YDL013W","3.0","3","0","0","0.69339904","false","0","YDL013W","60158","0.33333333"
"81199","10.27419355","0.0","0.09733124","0.0","YER116C","1","1","22","0.029","0.56099","-0.11","0.18379","0.182","0.13915","false","false","YER116C","3.0","1","0","0","0.65651135","false","0","YER116C","0","0.0"
"81200","10.59274194","0.11341401","0.09440426","0.0","YNR053C","3","3","23","0.352","2.1301E-7","-0.238","0.0048783","-0.012","0.90581","false","false","YNR053C","4.0","3","0","0","0.64471326","false","0","YNR053C","50456","0.33333333"
"81201","12.10483871","0.01199882","0.08261159","0.0","RPS28B","4","4","25","-0.259","1.6086E-4","-0.299","2.0632E-4","-0.17","0.21059","false","false","YLR264W","3.25","4","0","0","0.58870968","false","0","YLR264W","8136","0.375"
"81202","11.18951613","0.04554212","0.08936937","0.0","YEL015W","2","2","23","0.222","3.0657E-5","-0.171","0.0052925","0.275","0.032829","false","false","YEL015W","5.5","2","0","0","0.62261051","false","0","YEL015W","9804","0.5"
"81203","12.12903226","0.0","0.08244681","0.0","YNL050C","1","1","25","0.301","1.425E-5","-0.448","0.0031926","0.594","7.5124E-4","false","false","YNL050C","7.0","1","0","0","0.58781362","false","0","YNL050C","0","0.0"
"81204","12.10483871","0.02399765","0.08261159","0.0","LYS9","2","2","25","0.223","1.1825E-5","-0.131","0.0089039","0.647","1.1773E-7","false","false","YNR050C","5.0","2","0","0","0.58870968","false","0","YNR050C","8154","0.5"
"81205","11.13306452","0.12017603","0.08982253","0.0","LSM8","7","7","24","0.059","0.6011","-0.435","0.070701","0.294","0.14344","false","false","YJR022W","2.57142857","7","0","0","0.62470131","false","0","YJR022W","47386","0.19642857"
"81206","12.10483871","0.01199882","0.08261159","0.0","RPS28A","4","4","25","-0.374","2.7303E-6","-0.239","1.0533E-4","-0.243","4.8633E-5","false","false","YOR167C","3.25","4","0","0","0.58870968","false","0","YOR167C","8136","0.375"
"81207","13.09274194","8.16E-6","0.0763782","0.0","LSM4","2","2","26","0.193","7.0527E-5","-0.181","0.0037591","0.151","0.13653","false","false","YER112W","4.0","2","0","0","0.55212067","false","0","YER112W","2","1.0"
"81208","6.80645161","0.01614536","0.14691943","0.26666667","ALPHA2","6","6","16","0.169","0.0012873","-0.085","0.11481","0.301","0.0027555","false","false","YCL067C","5.16666667","6","0","0","0.78494624","false","0","YCL067C","2084","0.26315789"
"81209","8.79032258","0.0","0.11376147","0.0","SSN6","1","1","18","0.108","0.009167","-0.004","0.92034","0.077","0.17771","false","false","YBR112C","2.0","1","0","0","0.71146953","false","0","YBR112C","0","0.0"
"81210","7.79435484","0.00806452","0.12829798","0.0","TUP1","2","2","17","0.044","0.28551","0.704","1.832E-4","-0.091","0.69411","false","false","YCR084C","3.5","2","0","0","0.74835723","false","0","YCR084C","1038","0.5"
"81211","8.57258065","0.15820029","0.11665099","0.0","SNP1","5","5","20","0.165","0.013072","-0.635","4.9035E-4","0.181","0.28119","false","false","YIL061C","1.8","5","0","0","0.71953405","false","0","YIL061C","70312","0.2"
"81212","9.56854839","0.0","0.10450906","0.0","YGR203W","1","1","21","-0.141","0.039575","-0.085","0.43554","-0.34","0.22451","false","false","YGR203W","5.0","1","0","0","0.68264636","false","0","YGR203W","0","0.0"
"81213","1.5","0.16666667","0.66666667","0.0","MAD3","2","2","2","-0.072","0.14469","-0.154","0.046575","0.084","0.52778","false","false","YJL013C","2.5","2","0","0","0.83333333","false","0","YJL013C","4","0.75"
"81214","1.75","0.08333333","0.57142857","0.0","SAP4","2","2","3","-0.521","2.3655E-9","0.171","0.020857","-0.208","0.28721","false","false","YGL229C","2.0","2","0","0","0.75","false","0","YGL229C","2","1.0"
"81215","1.5","0.16666667","0.66666667","0.0","MAD2","2","2","2","0.08","0.21701","-0.271","0.0092841","0.46","0.0045437","false","false","YJL030W","2.5","2","0","0","0.83333333","false","0","YJL030W","4","0.75"
"81216","1.25","0.58333333","0.8","0.0","MSB2","3","3","2","-0.066","0.093717","-0.131","0.01294","-0.171","0.031836","false","false","YGR014W","1.66666667","3","0","0","0.91666667","false","0","YGR014W","10","0.66666667"
"81217","2.0","0.0","0.5","0.0","NIP7","1","1","3","-0.231","0.0019352","-0.504","5.2826E-6","0.623","1.5609E-4","false","false","YPL211W","3.0","1","0","0","0.66666667","false","0","YPL211W","0","0.0"
"81218","16.35887097","0.0","0.06112891","0.0","RNA15","1","1","27","0.162","0.0013639","-0.211","0.0040902","0.281","0.0057448","false","false","YGL044C","2.0","1","0","0","0.43115293","false","0","YGL044C","0","0.0"
"81219","15.36290323","0.00806452","0.06509186","0.0","HRP1","2","2","26","0.245","9.8446E-6","0.126","0.0050114","-0.036","0.59496","false","false","YOL123W","2.0","2","0","0","0.46804062","false","0","YOL123W","1970","0.5"
"81220","1.33333333","0.16666667","0.75","0.0","EFB1","2","2","2","-0.157","0.0018696","-0.2","6.2814E-4","-0.146","0.013062","false","false","YAL003W","2.0","2","0","0","0.83333333","false","0","YAL003W","2","1.0"
"81221","9.45564516","0.0426128","0.10575693","0.0","GNA1","5","5","19","0.131","0.0017854","0.122","0.0055302","0.124","0.050323","false","false","YFL017C","1.6","5","0","0","0.68682796","false","0","YFL017C","6282","0.2"
"81222","9.81451613","0.02250902","0.10188989","0.0","TIF35","3","3","18","0.078","0.072655","-0.209","0.0011724","0.354","1.6643E-5","false","false","YDR429C","3.0","3","0","0","0.67353644","false","0","YDR429C","4106","0.33333333"
"81223","10.81048387","0.0","0.0925028","0.0","TIF34","1","1","19","-0.05","0.30844","-0.143","0.0085173","-0.151","0.072007","false","false","YMR146C","3.0","1","0","0","0.63664875","false","0","YMR146C","0","0.0"
"81224","1.66666667","0.0","0.6","0.0","GSP1","1","1","2","-0.242","1.7601E-5","-0.247","6.7968E-4","-0.128","0.012703","false","false","YLR293C","3.0","1","0","0","0.66666667","false","0","YLR293C","0","0.0"
"81225","1.33333333","0.16666667","0.75","0.0","TEF2","2","2","2","-0.074","0.053125","-0.063","0.15497","0.044","0.54556","false","false","YBR118W","2.0","2","0","0","0.83333333","false","0","YBR118W","2","1.0"
"81226","1.33333333","0.16666667","0.75","0.0","TEF1","2","2","2","-0.138","9.8725E-4","0.009","0.89728","-0.278","6.7798E-4","false","false","YPR080W","2.0","2","0","0","0.83333333","false","0","YPR080W","2","1.0"
"81227","1.33333333","0.16666667","0.75","0.0","YEF3","2","2","2","-0.39","2.713E-8","-0.394","0.04747","-0.769","0.035939","false","false","YLR249W","2.0","2","0","0","0.83333333","false","0","YLR249W","2","1.0"
"81228","1.66666667","0.0","0.6","0.0","DED1","1","1","2","-0.033","0.39944","-0.056","0.31268","-0.91","8.349E-16","false","false","YOR204W","3.0","1","0","0","0.66666667","false","0","YOR204W","0","0.0"
"81229","1.0","1.0","1.0","0.0","SRM1","3","3","1","0.16","0.0021913","-0.23","0.0022461","0.008","0.93826","false","false","YGL097W","1.0","3","0","0","1.0","false","0","YGL097W","6","0.0"
"81230","1.66666667","0.0","0.6","0.0","CRM1","1","1","2","-0.018","0.61381","-0.001","0.9794","-0.018","0.80969","false","false","YGR218W","3.0","1","0","0","0.66666667","false","0","YGR218W","0","0.0"
"81231","14.375","0.02406295","0.06956522","0.0","NAB2","3","3","25","0.174","8.7295E-4","0.02","0.61707","0.187","0.0059966","false","false","YGL122C","1.66666667","3","0","0","0.50462963","false","0","YGL122C","5902","0.33333333"
"81232","15.37096774","0.0","0.06505771","0.0","GCN3","1","1","26","-0.154","9.1177E-4","-0.501","3.5692E-6","0.292","0.011229","false","false","YKR026C","3.0","1","0","0","0.46774194","false","0","YKR026C","0","0.0"
