"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81038","1.0","0.0","1.0","0.0","YDL113C","1","1","1","0.189","9.9404E-5","0.011","0.8523","0.304","0.0063436","false","false","YDL113C","1.0","1","0","0","1.0","false","0","YDL113C","0","0.0"
"81039","1.0","0.0","1.0","0.0","SNX4","1","1","1","0.195","1.3457E-4","-0.051","0.36812","0.376","9.7735E-4","false","false","YJL036W","1.0","1","0","0","1.0","false","0","YJL036W","0","0.0"
"81040","1.25","0.83333333","0.8","0.0","CMD1","3","3","2","-0.089","0.024989","0.074","0.13694","-0.163","0.0092082","false","false","YBR109C","1.33333333","3","0","0","0.91666667","false","0","YBR109C","10","0.33333333"
"81041","2.0","0.0","0.5","0.0","CMK2","1","1","3","-0.365","6.846E-7","-0.108","0.024371","-0.138","0.027128","false","false","YOL016C","3.0","1","0","0","0.66666667","false","0","YOL016C","0","0.0"
"81042","2.0","0.0","0.5","0.0","MET14","1","1","3","-0.152","0.0020562","-0.474","2.7503E-6","0.683","2.7054E-7","false","false","YKL001C","2.0","1","0","0","0.66666667","false","0","YKL001C","0","0.0"
"81043","1.33333333","0.66666667","0.75","0.0","YNL311C","2","2","2","-0.055","0.3444","-0.388","0.0089606","-0.169","0.12031","false","false","YNL311C","1.5","2","0","0","0.88888889","false","0","YNL311C","4","0.5"
"81044","7.09274194","0.07052718","0.1409892","0.0","BUD6","2","2","16","0.071","0.18355","-0.201","0.0039398","0.21","0.072655","false","false","YLR319C","5.5","2","0","0","0.77434289","false","0","YLR319C","6196","0.5"
"81045","8.81854839","0.0","0.11339735","0.0","FCY1","1","1","17","-0.07","0.066907","-0.145","0.006637","-0.071","0.26496","false","false","YPR062W","5.0","1","0","0","0.71042413","false","0","YPR062W","0","0.0"
"81046","8.79435484","0.02401397","0.11370931","0.0","CAR1","3","3","17","0.186","7.2553E-4","-0.26","1.8582E-4","0.957","5.2368E-11","false","false","YPL111W","3.0","3","0","0","0.71132019","false","0","YPL111W","4114","0.4"
"81047","8.81854839","0.0","0.11339735","0.0","PHO13","1","1","17","-0.223","2.9509E-4","-0.311","5.3874E-5","-0.258","8.095E-4","false","false","YDL236W","5.0","1","0","0","0.71042413","false","0","YDL236W","0","0.0"
"81048","7.82258065","0.05593286","0.12783505","0.0","SRP1","5","5","16","0.082","0.045195","0.014","0.79134","-0.573","1.4096E-8","false","false","YNL189W","1.8","5","0","0","0.74731183","false","0","YNL189W","9016","0.2"
