"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"81529","2148.76542347","pd","YNL216W (pd) YOL086C","false","pd","YNL216W (pd) YOL086C"
"81530","2148.76542347","pd","YNL216W (pd) YDR050C","false","pd","YNL216W (pd) YDR050C"
"81531","2391.0","pd","YNL216W (pd) YOL127W","false","pd","YNL216W (pd) YOL127W"
"81532","2940.76542347","pd","YNL216W (pd) YAL038W","false","pd","YNL216W (pd) YAL038W"
"81533","496.0","pd","YNL216W (pd) YIL069C","false","pd","YNL216W (pd) YIL069C"
"81534","496.0","pd","YNL216W (pd) YER074W","false","pd","YNL216W (pd) YER074W"
"81535","1476.0","pd","YNL216W (pd) YBR093C","false","pd","YNL216W (pd) YBR093C"
"81536","496.0","pp","YNL216W (pp) YDR171W","false","pp","YNL216W (pp) YDR171W"
"81537","5079.35982906","pd","YNL216W (pd) YCL030C","false","pd","YNL216W (pd) YCL030C"
"81538","496.0","pd","YNL216W (pd) YNL301C","false","pd","YNL216W (pd) YNL301C"
"81539","496.0","pd","YNL216W (pd) YOL120C","false","pd","YNL216W (pd) YOL120C"
"81540","15620.15017205","pd","YNL216W (pd) YLR044C","false","pd","YNL216W (pd) YLR044C"
"81541","2391.0","pd","YNL216W (pd) YIL133C","false","pd","YNL216W (pd) YIL133C"
"81542","2148.76542347","pd","YNL216W (pd) YHR174W","false","pd","YNL216W (pd) YHR174W"
"81543","2148.76542347","pd","YNL216W (pd) YGR254W","false","pd","YNL216W (pd) YGR254W"
"81544","2940.76542347","pd","YNL216W (pd) YCR012W","false","pd","YNL216W (pd) YCR012W"
"81545","2034.76542347","pd","YAL038W (pd) YPL075W","false","pd","YAL038W (pd) YPL075W"
"81546","988.0","pp","YNL307C (pp) YAL038W","false","pp","YNL307C (pp) YAL038W"
"81547","496.0","pp","YER116C (pp) YDL013W","false","pp","YER116C (pp) YDL013W"
"81548","7118.71708292","pp","YNR053C (pp) YDL030W","false","pp","YNR053C (pp) YDL030W"
"81549","988.0","pp","YNR053C (pp) YJL203W","false","pp","YNR053C (pp) YJL203W"
"81550","248.5","pp","YLR264W (pp) YBL026W","false","pp","YLR264W (pp) YBL026W"
"81551","248.5","pp","YLR264W (pp) YOL149W","false","pp","YLR264W (pp) YOL149W"
"81552","248.5","pp","YLR264W (pp) YER112W","false","pp","YLR264W (pp) YER112W"
